date,actual,forecast_close,forecast_high,forecast_low,action
2022-01-03,4796.56005859375,4793.7065,4806.0396,4763.6284,HOLD
2022-01-10,4670.2900390625,4695.204,4750.239,4678.3975,BUY
2022-01-18,4577.10986328125,4670.6216,4683.9,4647.6904,BUY
2022-01-25,4356.4501953125,4575.4346,4608.9824,4452.164,BUY
2022-02-01,4546.5400390625,4538.508,4560.273,4388.31,HOLD
2022-02-08,4521.5400390625,4515.574,4546.451,4448.457,HOLD
2022-02-15,4471.06982421875,4412.6455,4458.251,4366.3516,HOLD
2022-02-23,4225.5,4320.957,4369.5605,4258.8477,BUY
2022-03-02,4386.5400390625,4274.7036,4332.5444,4220.399,SELL
2022-03-09,4277.8798828125,4252.9116,4296.4434,4135.7603,HOLD
2022-03-16,4357.85986328125,4235.5615,4291.603,4203.6484,SELL
2022-03-23,4456.240234375,4577.352,4587.573,4501.4526,BUY
2022-03-30,4602.4501953125,4667.1655,4700.5825,4630.8813,BUY
2022-04-06,4481.14990234375,4567.95,4575.988,4530.962,BUY
2022-04-13,4446.58984375,4410.882,4440.049,4386.879,HOLD
2022-04-21,4393.66015625,4487.2026,4505.0474,4473.102,BUY
2022-04-28,4287.5,4234.0166,4277.354,4182.318,HOLD
2022-05-05,4146.8701171875,4223.7246,4294.2715,4200.3735,BUY
2022-05-12,3930.080078125,3992.9387,4045.3179,3916.9824,BUY
2022-05-19,3900.7900390625,3928.6865,3996.8308,3896.7559,BUY
2022-05-26,4057.840087890625,3980.3083,4047.5947,3953.168,SELL
2022-06-03,4108.5400390625,4065.9248,4155.8647,4047.9133,HOLD
2022-06-10,3900.860107421875,4012.6716,4144.3325,3970.3792,BUY
2022-06-17,3674.840087890625,3704.223,3732.7437,3572.0688,BUY
2022-06-27,3900.110107421875,3804.7349,3902.8918,3848.0405,SELL
2022-07-05,3831.389892578125,3895.6052,3912.4202,3826.8567,BUY
2022-07-12,3818.800048828125,3900.0334,3919.9128,3861.579,BUY
2022-07-19,3936.68994140625,3775.2578,3819.156,3761.7495,SELL
2022-07-26,3921.050048828125,3921.3066,3948.9207,3900.345,HOLD
2022-08-02,4091.18994140625,4082.7458,4118.892,4055.6978,HOLD
2022-08-09,4122.47021484375,4107.352,4129.597,4085.497,HOLD
2022-08-16,4305.2001953125,4264.8257,4283.5854,4242.651,SELL
2022-08-23,4128.72998046875,4147.36,4157.8438,4116.621,BUY
2022-08-30,3986.159912109375,4032.2898,4057.9104,4019.3762,BUY
2022-09-07,3979.8701171875,3898.734,3926.653,3882.81,SELL
2022-09-14,3946.010009765625,3910.9722,3953.8608,3879.5452,SELL
2022-09-21,3789.929931640625,3840.1978,3874.9924,3823.546,BUY
2022-09-28,3719.0400390625,3723.8774,3807.4968,3684.1077,HOLD
2022-10-05,3783.280029296875,3777.1167,3814.5488,3749.254,HOLD
2022-10-12,3577.030029296875,3541.5413,3611.0408,3482.8774,HOLD
2022-10-19,3695.159912109375,3741.334,3766.0981,3669.6453,BUY
2022-10-26,3830.60009765625,3863.5483,3901.13,3806.5513,HOLD
2022-11-02,3759.68994140625,3862.3398,3930.953,3848.8313,BUY
2022-11-09,3748.570068359375,3892.7288,3908.9,3839.4705,BUY
2022-11-16,3958.7900390625,4067.6328,4079.537,3998.5867,BUY
2022-11-23,4027.260009765625,4023.2578,4031.5195,3995.809,HOLD
2022-12-01,4076.570068359375,4062.229,4027.8584,4007.3586,HOLD
2022-12-08,3963.510009765625,3943.0051,3943.266,3926.1611,HOLD
2022-12-15,3895.75,3992.97,4003.447,3959.555,BUY
2022-12-22,3822.389892578125,3834.676,3912.1453,3829.0986,BUY
2022-12-30,3839.5,3857.8704,3906.5303,3817.595,HOLD
2023-01-09,3892.090087890625,3933.3845,3945.734,3884.5603,BUY
2023-01-17,3990.969970703125,4057.8914,4062.4119,4000.0457,BUY
2023-01-24,4016.949951171875,4024.7278,4039.985,3993.417,HOLD
2023-01-31,4076.60009765625,4055.6873,4057.516,4014.0896,HOLD
2023-02-07,4164.0,4105.9155,4129.433,4076.4255,HOLD
2023-02-14,4136.1298828125,4126.931,4144.8496,4102.6074,HOLD
2023-02-22,3991.050048828125,4053.9333,4064.32,4005.186,BUY
2023-03-01,3951.389892578125,3996.897,4017.2678,3918.2888,BUY
2023-03-08,3992.010009765625,3997.1528,4004.9998,3956.537,HOLD
2023-03-15,3891.929931640625,3935.568,3945.062,3855.6973,BUY
2023-03-22,3936.969970703125,4056.1235,4083.3743,4004.7478,BUY
2023-03-29,4027.81005859375,3974.9617,3988.8513,3944.6653,HOLD
2023-04-05,4090.3798828125,4076.8823,4141.6016,4067.7751,HOLD
2023-04-13,4146.22021484375,4059.0928,4121.796,4054.0144,SELL
2023-04-20,4129.7900390625,4171.104,4172.9443,4144.323,BUY
2023-04-27,4135.35009765625,4053.7861,4075.2983,4044.891,SELL
2023-05-04,4061.219970703125,4088.528,4109.4683,4073.1665,BUY
2023-05-11,4130.6201171875,4144.634,4151.436,4102.53,BUY
2023-05-18,4198.0498046875,4142.436,4155.9185,4125.491,HOLD
2023-05-25,4151.27978515625,4156.8926,4164.4214,4120.132,HOLD
2023-06-02,4282.3701171875,4225.2573,4235.65,4209.8315,HOLD
2023-06-09,4298.85986328125,4285.488,4300.147,4271.649,HOLD
2023-06-16,4409.58984375,4429.4795,4439.4307,4405.983,HOLD
2023-06-26,4328.81982421875,4350.4,4359.1807,4328.0938,HOLD
